"rank","name","pop2020","pop2010","change","density"
"1","Denver","734134","603354","0.2168","1849.0876"
"2","Colorado Springs","485946","420544","0.1555","962.1798"
"3","Aurora","382742","326073","0.1738","957.9039"
"4","Fort Collins","172862","145267","0.1900","1167.1821"
"5","Lakewood","158660","142786","0.1112","1423.0873"
"6","Thornton","143890","119391","0.2052","1547.9067"
"7","Arvada","123036","106882","0.1511","1224.8238"
"8","Westminster","113919","106442","0.0702","1392.5473"
"9","Pueblo","113662","106834","0.0639","798.4798"
"10","Centennial","112151","100990","0.1105","1463.9517"
"11","Greeley","111476","93264","0.1953","880.9546"
"12","Boulder","106567","98512","0.0818","1564.9179"
"13","Highlands Ranch","105147","96713","0.0872","1672.8475"
"14","Longmont","99381","86424","0.1499","1335.1416"
"15","Loveland","78402","67057","0.1692","879.8487"
"16","Broomfield","72783","56221","0.2946","851.4743"
"17","Castle Rock","70687","48590","0.4548","795.9262"
"18","Grand Junction","65110","58967","0.1042","636.0200"
"19","Commerce City","61313","46172","0.3279","662.5854"
"20","Parker","58578","45523","0.2868","1018.9020"
"21","Littleton","50507","41916","0.2050","1544.5755"
"22","Brighton","43998","33993","0.2943","802.1177"
"23","Northglenn","38724","35892","0.0789","2033.9624"
"24","Security-Widefield","38134","32882","0.1597","1132.7323"
"25","Englewood","35168","30367","0.1581","2071.8014"
"26","Dakota Ridge","34250","32005","0.0701","1409.0533"
"27","Ken Caryl","33804","32438","0.0421","1327.3805"
"28","Windsor","33011","18774","0.7583","508.2126"
"29","Pueblo West","31860","29637","0.0750","174.6682"
"30","Fountain","31378","26140","0.2004","538.7142"
"31","Wheat Ridge","31210","30208","0.0332","1289.9946"
"32","Lafayette","29538","24563","0.2025","1210.2960"
"33","Erie","28003","18281","0.5318","548.6567"
"34","Columbine","25094","24280","0.0335","1461.2643"
"35","Golden","22270","19232","0.1580","891.8024"
"36","Louisville","21967","18433","0.1917","1063.2572"
"37","Evans","21912","18646","0.1752","830.8812"
"38","Clifton","20572","19889","0.0343","1313.2712"
"39","Montrose","20076","19109","0.0506","420.1477"
"40","Sherrelwood","19243","18287","0.0523","3059.3443"
"41","Durango","19097","16851","0.1333","501.8223"
"42","Cimarron Hills","18285","16161","0.1314","1188.4180"
"43","Canon City","17066","16415","0.0397","531.8184"
"44","Firestone","16748","10309","0.6246","478.9727"
"45","Welby","16352","14846","0.1014","1703.8232"
